"names","community"
"NEU_SRR1974602",4
"NEU_SRR1974603",8
"NEU_SRR1974605",3
"NEU_SRR1974607",4
"NEU_SRR1974609",5
"NEU_SRR1974611",6
"NEU_SRR1974612",8
"NEU_SRR1974613",9
"NEU_SRR1974614",5
"NEU_SRR1974615",10
"NEU_SRR1974617",4
"NEU_SRR1974618",4
"NEU_SRR1974620",11
"NEU_SRR1974621",4
"NEU_SRR1974622",9
"NEU_SRR1974623",5
"NEU_SRR1974624",4
"NEU_SRR1974625",13
"NEU_SRR1974626",11
"NEU_SRR1974627",4
"NEU_SRR1974628",6
"NEU_SRR1974629",7
"NEU_SRR1974630",11
"NEU_SRR1974631",10
"NEU_SRR1974632",7
"NEU_SRR1974633",5
"NEU_SRR1974634",7
"NEU_SRR1974635",4
"NEU_SRR1974636",6
"NEU_SRR1974638",4
"NEU_SRR1974639",4
"NEU_SRR1974640",11
"NEU_SRR1974642",9
"NEU_SRR1974643",9
"NEU_SRR1974645",4
"NEU_SRR1974646",5
"NEU_SRR1974648",9
"NEU_SRR1974649",4
"NEU_SRR1974650",9
"NEU_SRR1974652",6
"NEU_SRR1974654",1
"NEU_SRR1974655",11
"NEU_SRR1974656",11
"NEU_SRR1974657",5
"NEU_SRR1974658",4
"NEU_SRR1974659",4
"NEU_SRR1974660",6
"NEU_SRR1974661",4
"NEU_SRR1974662",4
"NEU_SRR1974663",4
"NEU_SRR1974673",13
"NEU_SRR1974674",4
"NEU_SRR1974677",4
"NEU_SRR1974681",4
"NEU_SRR1974684",6
"NEU_SRR1974686",6
"NEU_SRR1974697",10
"NEU_SRR1974704",5
"NEU_SRR1974705",4
"NEU_SRR1974706",6
"NEU_SRR1974707",5
"NEU_SRR1974709",4
"NEU_SRR1974710",5
"NEU_SRR1974711",5
"NEU_SRR1974712",5
"NEU_SRR1974713",5
"NEU_SRR1974714",5
"NEU_SRR1974718",6
"NEU_SRR1974724",4
"NEU_SRR1974730",5
"NEU_SRR1974735",3
"NEU_SRR1974752",4
"NEU_SRR1974756",5
"NEU_SRR1974759",4
"NEU_SRR1974762",5
"NEU_SRR1974763",12
"NEU_SRR1974767",8
"NEU_SRR1974773",4
"NEU_SRR1974775",8
"NEU_SRR1974776",5
"NEU_SRR1974777",4
"NEU_SRR1974778",8
"NEU_SRR1974779",4
"NEU_SRR1974780",4
"NEU_SRR1974782",4
"NEU_SRR1974783",4
"NEU_SRR1974785",5
"NEU_SRR1974786",5
"NEU_SRR1974787",12
"NEU_SRR1974793",4
"NEU_SRR1974799",4
"NEU_SRR1974800",5
"NEU_SRR1974801",4
"NEU_SRR1974803",13
"NEU_SRR1974806",4
"NEU_SRR1974807",5
"NEU_SRR1974808",13
"NEU_SRR1974809",4
"NEU_SRR1974810",8
"NEU_SRR1974811",4
"NEU_SRR1974813",2
"NEU_SRR1974815",4
"NEU_SRR1974817",4
"NEU_SRR1974818",4
"NEU_SRR1974819",8
"NEU_SRR1974820",1
"NEU_SRR1974821",5
"NEU_SRR1974822",4
"NEU_SRR1974823",12
"NEU_SRR1974824",4
"NEU_SRR1974825",5
"NEU_SRR1974828",4
"NEU_SRR1974830",4
"NEU_SRR1974832",4
"NEU_SRR1974835",4
"NEU_SRR1974838",5
"NEU_SRR1974841",5
"NEU_SRR1974842",4
"NEU_SRR1974843",6
"NEU_SRR1974844",2
"NEU_SRR1974847",4
"NEU_SRR1974848",5
"NEU_SRR1974849",4
"NEU_SRR1974853",4
"NEU_SRR1974854",4
"NEU_SRR1974864",5
"NEU_SRR1974866",13
"NEU_SRR1974867",4
"NEU_SRR1974869",13
"NEU_SRR1974870",5
"NEU_SRR1974872",5
